timestamp_utc,role,pid,cpu_seconds,working_set_mb,thread_count,handle_count
2026-08-23T19:44:07.7224742Z,api-visitor-5010,93796,13.109375,207.75,35,810
2026-08-23T19:44:07.7224742Z,worker,123952,11.3125,191.23,39,706
2026-08-23T19:44:12.7449356Z,api-operator-5009,124116,9.65625,178.52,33,721
2026-08-23T19:44:12.7449356Z,api-visitor-5010,93796,13.171875,207.73,34,807
2026-08-23T19:44:12.7449356Z,worker,123952,11.359375,191.12,39,705
2026-08-23T19:44:17.7740166Z,api-operator-5009,124116,9.65625,178.48,32,718
2026-08-23T19:44:17.7740166Z,api-visitor-5010,93796,13.171875,207.73,34,810
2026-08-23T19:44:17.7740166Z,worker,123952,11.421875,191.13,39,705
2026-08-23T19:44:22.7963766Z,api-operator-5009,124116,9.671875,178.48,32,718
2026-08-23T19:44:22.7963766Z,api-visitor-5010,93796,13.1875,207.72,33,810
2026-08-23T19:44:22.7963766Z,worker,123952,11.421875,191.11,38,702
2026-08-23T19:44:27.8212462Z,api-operator-5009,124116,9.71875,182.73,35,730
2026-08-23T19:44:27.8212462Z,api-visitor-5010,93796,13.203125,209.96,37,823
2026-08-23T19:44:27.8212462Z,worker,123952,11.421875,191.11,38,702
2026-08-23T19:44:32.8412096Z,api-operator-5009,124116,9.734375,178.36,34,727
2026-08-23T19:44:32.8412096Z,api-visitor-5010,93796,13.203125,206.68,35,820
2026-08-23T19:44:32.8412096Z,worker,123952,11.421875,191.11,38,702
2026-08-23T19:44:37.8729349Z,api-operator-5009,124116,9.734375,178.36,34,727
2026-08-23T19:44:37.8729349Z,api-visitor-5010,93796,13.203125,206.68,35,820
2026-08-23T19:44:37.8729349Z,worker,123952,11.421875,191.07,37,698
2026-08-23T19:44:42.8962352Z,api-operator-5009,124116,9.734375,178.38,35,730
2026-08-23T19:44:42.8962352Z,api-visitor-5010,93796,13.203125,206.68,35,820
2026-08-23T19:44:42.8962352Z,worker,123952,11.421875,191.07,37,698
2026-08-23T19:44:47.9239537Z,api-operator-5009,124116,9.734375,178,30,715
2026-08-23T19:44:47.9239537Z,api-visitor-5010,93796,13.25,206.43,30,805
2026-08-23T19:44:47.9239537Z,worker,123952,11.421875,191.07,37,698
2026-08-23T19:44:52.9544018Z,api-operator-5009,124116,9.734375,178,30,715
2026-08-23T19:44:52.9544018Z,api-visitor-5010,93796,13.265625,206.41,29,802
2026-08-23T19:44:52.9544018Z,worker,123952,11.421875,191.07,37,698
2026-08-23T19:44:57.9708958Z,api-operator-5009,124116,9.734375,178.01,31,718
2026-08-23T19:44:57.9708958Z,api-visitor-5010,93796,13.265625,206.41,29,802
2026-08-23T19:44:57.9708958Z,worker,123952,11.453125,191.09,38,703
2026-08-23T19:45:02.9922226Z,api-operator-5009,124116,9.734375,178.01,31,720
2026-08-23T19:45:02.9922226Z,api-visitor-5010,93796,13.265625,206.41,29,802
2026-08-23T19:45:02.9922226Z,worker,123952,11.453125,191.09,38,703
2026-08-23T19:45:08.0114785Z,api-operator-5009,124116,9.734375,178.01,31,720
2026-08-23T19:45:08.0114785Z,api-visitor-5010,93796,13.28125,206.41,29,802
2026-08-23T19:45:08.0114785Z,worker,123952,11.453125,191.09,38,703
